Id,Clean_Status__c,Sync_Status__c
0033j000049FoZUAA0,OK,Not Synced
0033j000049FoZVAA0,OK,Not Synced
0033j000049FoZWAA0,OK,Not Synced
0033j000049FoZXAA0,OK,Not Synced
0033j000049FoaWAAS,OK,Not Synced
0033j000049FobUAAS,OK,Not Synced
0033j000049FoboAAC,OK,Not Synced
0033j000049Foc9AAC,OK,Not Synced
0033j000049FogBAAS,OK,Not Synced
0033j000049FooBAAS,OK,Not Synced
0033j000049FooDAAS,OK,Not Synced
0033j000049FooJAAS,OK,Not Synced
0033j000049Foq0AAC,OK,Not Synced
0033j000049ForrAAC,OK,Not Synced
0033j000049FotGAAS,OK,Not Synced
0033j000049FotHAAS,OK,Not Synced
0033j000049FoulAAC,OK,Not Synced
0033j000049FovKAAS,OK,Not Synced
0033j000049FovUAAS,OK,Not Synced
0033j000049Fow3AAC,OK,Not Synced
0033j000049FowDAAS,OK,Not Synced
0033j000049FqC6AAK,OK,Not Synced
0033j000049FqEbAAK,OK,Not Synced
0033j000049FqSeAAK,OK,Not Synced
0033j000049FqUAAA0,OK,Not Synced
0033j000049FqUZAA0,OK,Not Synced
0033j000049FqZEAA0,OK,Not Synced
0033j000049FqoFAAS,OK,Not Synced
0033j000049FqpIAAS,OK,Not Synced
0033j000049FqtGAAS,OK,Not Synced
0033j000049Fr0qAAC,OK,Not Synced
0033j000049Fr1TAAS,OK,Not Synced
0033j000049Fr3UAAS,OK,Not Synced
0033j000049Fr3VAAS,OK,Not Synced
0033j000049Fr3WAAS,OK,Not Synced
0033j000049Fr3XAAS,OK,Not Synced
0033j000049Fr3YAAS,OK,Not Synced
0033j000049Fr3ZAAS,OK,Not Synced
0033j000049Fr3aAAC,OK,Not Synced
0033j000049Fr3bAAC,OK,Not Synced
0033j000049Fr3cAAC,OK,Not Synced
0033j000049Fr3dAAC,OK,Not Synced
0033j000049Fr3eAAC,OK,Not Synced
0033j000049Fr3fAAC,OK,Not Synced
0033j000049Fr3gAAC,OK,Not Synced
0033j000049Fr3hAAC,OK,Not Synced
0033j000049Fr3iAAC,OK,Not Synced
0033j000049Fr3jAAC,OK,Not Synced
0033j000049Fr3kAAC,OK,Not Synced
0033j000049Fr3lAAC,OK,Not Synced
0033j000049Fr3mAAC,OK,Not Synced
0033j000049Fr3nAAC,OK,Not Synced
0033j000049Fr3oAAC,OK,Not Synced
0033j000049FrBSAA0,OK,Not Synced
0033j000049FrC8AAK,OK,Not Synced
0033j000049FrEKAA0,OK,Not Synced
0033j000049FrELAA0,OK,Not Synced
0033j000049FrEMAA0,OK,Not Synced
0033j000049FrENAA0,OK,Not Synced
0033j000049FrLMAA0,OK,Not Synced
0033j000049FrNhAAK,OK,Not Synced
0033j000049FrQRAA0,OK,Not Synced
0033j000049FrRLAA0,OK,Not Synced
0033j000049FrRMAA0,OK,Not Synced
0033j000049FrRNAA0,OK,Not Synced
0033j000049FrRhAAK,OK,Not Synced
0033j000049FrSQAA0,OK,Not Synced
0033j000049FrSRAA0,OK,Not Synced
0033j000049FrSSAA0,OK,Not Synced
0033j000049FrSTAA0,OK,Not Synced
0033j000049FrSUAA0,OK,Not Synced
0033j000049FrTjAAK,OK,Not Synced
0033j000049FrXQAA0,OK,Not Synced
0033j000049FrbNAAS,OK,Not Synced
0033j000049FrbOAAS,OK,Not Synced
0033j000049FrbPAAS,OK,Not Synced
0033j000049FrbQAAS,OK,Not Synced
0033j000049FrbRAAS,OK,Not Synced
0033j000049FrbSAAS,OK,Not Synced
