"sf__Id","sf__Created",Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
"0032A00002az291QAA","false","0032A00002az291QAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az296QAA","false","0032A00002az296QAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az29KQAQ","false","0032A00002az29KQAQ","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az29cQAA","false","0032A00002az29cQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az29uQAA","false","0032A00002az29uQAA","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2AHQAY","false","0032A00002az2AHQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2AKQAY","false","0032A00002az2AKQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2ARQAY","false","0032A00002az2ARQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2AZQAY","false","0032A00002az2AZQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2AbQAI","false","0032A00002az2AbQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2AeQAI","false","0032A00002az2AeQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2AvQAI","false","0032A00002az2AvQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2B5QAI","false","0032A00002az2B5QAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2B7QAI","false","0032A00002az2B7QAI","Archive","Old Inactive Contact","false","Not Synced"
"0032A00002az2BHQAY","false","0032A00002az2BHQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2BlQAI","false","0032A00002az2BlQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2BnQAI","false","0032A00002az2BnQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2C0QAI","false","0032A00002az2C0QAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2CGQAY","false","0032A00002az2CGQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2CHQAY","false","0032A00002az2CHQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2CSQAY","false","0032A00002az2CSQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2CWQAY","false","0032A00002az2CWQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2CgQAI","false","0032A00002az2CgQAI","Delete","No Email or Phone","false","Not Synced"
