Id,Clean_Status__c,Delete_Reason__c
0032A00002az3CMQAY,Delete,No Activity 3+ Years
0032A00002az3CNQAY,Delete,No Email or Phone
0032A00002az3COQAY,Delete,No Activity 3+ Years
0032A00002az3CPQAY,Duplicate,Master: 0032A00002az1omQAA
0032A00002az3CQQAY,Delete,No Activity 3+ Years
0032A00002az3CRQAY,Archive,Old Inactive Contact
0032A00002az3CSQAY,Delete,No Activity 3+ Years
0032A00002az3CTQAY,OK,
0032A00002az3CUQAY,Archive,Old Inactive Contact
0032A00002az3CVQAY,Archive,Old Inactive Contact
0032A00002az3CWQAY,Archive,Old Inactive Contact
0032A00002az3CXQAY,Duplicate,Master: 0032A00002az3ufQAA
0032A00002az3CYQAY,OK,
0032A00002az3CZQAY,Duplicate,Master: 0033j00003wP0ihAAC
0032A00002az3CaQAI,Archive,Old Inactive Contact
0032A00002az3CbQAI,OK,
0032A00002az3CcQAI,Delete,No Activity 3+ Years
0032A00002az3CdQAI,Duplicate,Master: 0032A00002az4EcQAI
0032A00002az3CeQAI,Archive,Old Inactive Contact
0032A00002az3CfQAI,Delete,No Activity 3+ Years
0032A00002az3CgQAI,Delete,No Activity 3+ Years
0032A00002az3ChQAI,Archive,Old Inactive Contact
0032A00002az3CiQAI,Archive,Old Inactive Contact
0032A00002az3CjQAI,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az3CkQAI,Delete,No Activity 3+ Years
0032A00002az3ClQAI,Delete,No Activity 3+ Years
0032A00002az3CmQAI,Delete,No Activity 3+ Years
0032A00002az3CnQAI,Archive,Old Inactive Contact
0032A00002az3CoQAI,Archive,Old Inactive Contact
0032A00002az3CpQAI,Archive,Old Inactive Contact
0032A00002az3CqQAI,Duplicate,Master: 0032A00002aznrrQAA
0032A00002az3CrQAI,Delete,No Activity 3+ Years
0032A00002az3CsQAI,Archive,Old Inactive Contact
0032A00002az3CtQAI,Delete,No Activity 3+ Years
0032A00002az3CuQAI,Delete,No Activity 3+ Years
0032A00002az3CvQAI,Duplicate,Master: 0033j000049FWSSAA4
0032A00002az3CwQAI,Archive,Old Inactive Contact
0032A00002az3CxQAI,Archive,Old Inactive Contact
0032A00002az3CyQAI,Archive,Old Inactive Contact
0032A00002az3CzQAI,Delete,No Activity 3+ Years
0032A00002az3D0QAI,Duplicate,Master: 0033j00003wPRgCAAW
0032A00002az3D1QAI,Archive,Old Inactive Contact
0032A00002az3D2QAI,Duplicate,Master: 0032A00002az2XiQAI
0032A00002az3D3QAI,Archive,Old Inactive Contact
0032A00002az3D4QAI,Archive,Old Inactive Contact
0032A00002az3D6QAI,Archive,Old Inactive Contact
0032A00002az3D7QAI,OK,
0032A00002az3D8QAI,Duplicate,Master: 0033j00003wOVfqAAG
0032A00002az3D9QAI,Archive,Old Inactive Contact
0032A00002az3DAQAY,Delete,No Activity 3+ Years
0032A00002az3DBQAY,Archive,Old Inactive Contact
0032A00002az3DCQAY,Archive,Old Inactive Contact
0032A00002az3DDQAY,Delete,No Activity 3+ Years
0032A00002az3DEQAY,Archive,Old Inactive Contact
0032A00002az3DFQAY,Archive,Old Inactive Contact
0032A00002az3DGQAY,Archive,Old Inactive Contact
0032A00002az3DHQAY,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az3DIQAY,Archive,Old Inactive Contact
0032A00002az3DJQAY,Delete,No Activity 3+ Years
0032A00002az3DKQAY,Duplicate,Master: 0032A00002az2ljQAA
0032A00002az3DLQAY,Archive,Old Inactive Contact
0032A00002az3DMQAY,Delete,No Activity 3+ Years
0032A00002az3DNQAY,Archive,Old Inactive Contact
0032A00002az3DOQAY,Delete,No Activity 3+ Years
0032A00002az3DPQAY,Archive,Old Inactive Contact
0032A00002az3DQQAY,Duplicate,Master: 003Rh00000EquZpIAJ
0032A00002az3DRQAY,Archive,Old Inactive Contact
0032A00002az3DSQAY,Delete,No Activity 3+ Years
