Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
0032A00002Z3eTEQAZ,Duplicate,Master: 0032A00002Z3kwdQAB,false,Not Synced
0032A00002Z3eVLQAZ,Archive,Old Inactive Contact,false,Not Synced
0032A00002Z3fvjQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z3hRYQAZ,Archive,Old Inactive Contact,false,Not Synced
0032A00002Z3hzKQAR,Duplicate,Master: 0032A00002YWfWbQAL,false,Not Synced
0032A00002Z3j1WQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z3jJ6QAJ,Archive,Old Inactive Contact,false,Not Synced
0032A00002Z3kd3QAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Z3kwdQAB,OK,,false,Not Synced
0032A00002Z3l85QAB,Delete,Inactive 3+ Years,false,Not Synced
0032A00002Z3rssQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z3sC9QAJ,OK,,false,Not Synced
0032A00002Z3sMdQAJ,Duplicate,Master: 0032A00002aKbJ5QAK,false,Not Synced
0032A00002Z3svEQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002Z3xVzQAJ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z3xcmQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z3zk0QAB,OK,,false,Not Synced
0032A00002Z4159QAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Z41IbQAJ,Duplicate,Master: 0032A00002aKbJ5QAK,false,Not Synced
0032A00002Z41LaQAJ,Duplicate,Master: 0032A00002aKbJ5QAK,false,Not Synced
0032A00002Z41UnQAJ,Archive,Old Inactive Contact,false,Not Synced
0032A00002Z43aNQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002Z43qHQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002Z4OwsQAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002ZH5PWQA1,Archive,Old Inactive Contact,false,Not Synced
0032A00002ZH5RIQA1,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ZH9APQA1,OK,,false,Not Synced
0032A00002ZHEBjQAP,OK,,false,Not Synced
0032A00002ZHHS9QAP,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ZHHbuQAH,OK,,false,Not Synced
0032A00002ZHKEyQAP,OK,,false,Not Synced
0032A00002ZHKUmQAP,OK,,false,Not Synced
0032A00002ZHLDSQA5,OK,,false,Not Synced
0032A00002ZHMQ5QAP,OK,,false,Not Synced
0032A00002ZHf5sQAD,OK,,false,Not Synced
0032A00002ZHjOAQA1,OK,,false,Not Synced
0032A00002ZHjU3QAL,Duplicate,Master: 0032A00002Zp3clQAB,false,Not Synced
0032A00002ZHkkyQAD,OK,,false,Not Synced
0032A00002ZHkobQAD,Archive,Old Inactive Contact,false,Not Synced
0032A00002ZHlBLQA1,Delete,No Activity 3+ Years,false,Not Synced
0032A00002ZHmsfQAD,Delete,No Activity 3+ Years,false,Not Synced
